name	link	active	country	birthday	turnedPro	weight	height	lefty	oneHandedBackhand
"Ilie Nastase"	"/en/players/ilie-nastase/n008/"	FALSE	"ROU"	"1946.07.19"	"1969"	"75kg"	"183cm"	"Right-Handed"	"Unknown Backhand"
"John Newcombe"	"/en/players/john-newcombe/n044/"	FALSE	"AUS"	"1944.05.23"	"1967"	"82kg"	"183cm"	"Right-Handed"	"Unknown Backhand"
"Jimmy Connors"	"/en/players/jimmy-connors/c044/"	FALSE	"USA"	"1952.09.02"	"1972"	"70kg"	"178cm"	"Left-Handed"	"Two-Handed Backhand"
"Tom Okker"	"/en/players/tom-okker/o032/"	FALSE	"NED"	"1944.02.22"	"1968"	NA	"178cm"	"Right-Handed"	"One-Handed Backhand"
"Stan Smith"	"/en/players/stan-smith/s060/"	FALSE	"USA"	"1946.12.14"	NA	"84kg"	"193cm"	"Right-Handed"	"Unknown Backhand"
"Ken Rosewall"	"/en/players/ken-rosewall/r075/"	FALSE	"AUS"	"1934.11.02"	NA	"61kg"	"170cm"	"Right-Handed"	"Unknown Backhand"
"Manuel Orantes"	"/en/players/manuel-orantes/o017/"	FALSE	"ESP"	"1949.02.06"	NA	"75kg"	"178cm"	"Left-Handed"	"Unknown Backhand"
"Rod Laver"	"/en/players/rod-laver/l058/"	FALSE	"AUS"	"1938.08.09"	NA	"68kg"	"173cm"	"Left-Handed"	"Unknown Backhand"
"Jan Kodes"	"/en/players/jan-kodes/k049/"	FALSE	"CZE"	"1946.03.01"	NA	"81kg"	"175cm"	"Right-Handed"	"Unknown Backhand"
"Arthur Ashe"	"/en/players/arthur-ashe/a063/"	FALSE	"USA"	"1943.07.10"	"1969"	"73kg"	"185cm"	"Right-Handed"	"One-Handed Backhand"
"Tom Gorman"	"/en/players/tom-gorman/g078/"	FALSE	"USA"	"1946.01.19"	NA	"75kg"	"180cm"	"Right-Handed"	"Unknown Backhand"
"Roy Emerson"	"/en/players/roy-emerson/e030/"	FALSE	"AUS"	"1936.11.03"	NA	"79kg"	"183cm"	"Right-Handed"	"Unknown Backhand"
"Marty Riessen"	"/en/players/marty-riessen/r055/"	FALSE	"USA"	"1941.12.04"	NA	"79kg"	"185cm"	"Right-Handed"	"Unknown Backhand"
"Adriano Panatta"	"/en/players/adriano-panatta/p059/"	FALSE	"ITA"	"1950.07.09"	NA	NA	"183cm"	"Right-Handed"	"Unknown Backhand"
"Nikola Pilic"	"/en/players/nikola-pilic/p080/"	FALSE	"CRO"	"1939.08.27"	NA	NA	NA	"Left-Handed"	"Unknown Backhand"
"Roger Taylor"	"/en/players/roger-taylor/t050/"	FALSE	"GBR"	"1941.10.14"	NA	NA	NA	"Left-Handed"	"Unknown Backhand"
"Jaime Fillol Sr."	"/en/players/jaime-fillol-sr/f024/"	FALSE	"CHI"	"1946.06.03"	"1968"	"73kg"	"180cm"	"Right-Handed"	"Unknown Backhand"
"Bjorn Borg"	"/en/players/bjorn-borg/b058/"	FALSE	"SWE"	"1956.06.06"	"1973"	"73kg"	"180cm"	"Right-Handed"	"Two-Handed Backhand"
"Cliff Richey"	"/en/players/cliff-richey/r071/"	FALSE	"USA"	"1946.12.31"	"1964"	"77kg"	"175cm"	"Right-Handed"	"One-Handed Backhand"
"Paolo Bertolucci"	"/en/players/paolo-bertolucci/b129/"	FALSE	"ITA"	"1951.08.03"	NA	"82kg"	"175cm"	"Right-Handed"	"Unknown Backhand"
"Brian Gottfried"	"/en/players/brian-gottfried/g029/"	FALSE	"USA"	"1952.01.27"	NA	"75kg"	"183cm"	"Right-Handed"	"One-Handed Backhand"
"Mark Cox"	"/en/players/mark-cox/c090/"	FALSE	"GBR"	"1943.07.05"	NA	NA	NA	"Left-Handed"	"Unknown Backhand"
"Cliff Drysdale"	"/en/players/cliff-drysdale/d082/"	FALSE	"RSA"	"1941.05.26"	NA	"76kg"	"188cm"	"Right-Handed"	"Unknown Backhand"
"Roscoe Tanner"	"/en/players/roscoe-tanner/t006/"	FALSE	"USA"	"1951.10.15"	NA	"77kg"	"183cm"	"Left-Handed"	"Unknown Backhand"
"Brian Fairlie"	"/en/players/brian-fairlie/f066/"	FALSE	"NZL"	"1948.06.13"	NA	NA	NA	"Right-Handed"	"Unknown Backhand"
"Raul Ramirez"	"/en/players/raul-ramirez/r065/"	FALSE	"MEX"	"1953.06.20"	NA	"79kg"	"183cm"	"Right-Handed"	"One-Handed Backhand"
"Dick Stockton"	"/en/players/dick-stockton/s090/"	FALSE	"USA"	"1951.02.18"	NA	"82kg"	"188cm"	"Right-Handed"	"Unknown Backhand"
"Eddie Dibbs"	"/en/players/eddie-dibbs/d026/"	FALSE	"USA"	"1951.02.23"	NA	"73kg"	"170cm"	"Right-Handed"	"Unknown Backhand"
"John Alexander"	"/en/players/john-alexander/a014/"	FALSE	"AUS"	"1951.07.04"	NA	"82kg"	"191cm"	"Right-Handed"	"Unknown Backhand"
"Vijay Amritraj"	"/en/players/vijay-amritraj/a022/"	FALSE	"IND"	"1953.12.14"	NA	"86kg"	"193cm"	"Right-Handed"	"Unknown Backhand"
"Guillermo Vilas"	"/en/players/guillermo-vilas/v028/"	FALSE	"ARG"	"1952.08.17"	NA	"75kg"	"180cm"	"Left-Handed"	"One-Handed Backhand"
"Karl Meiler"	"/en/players/karl-meiler/m055/"	FALSE	"GER"	"1949.04.30"	NA	"75kg"	"178cm"	"Right-Handed"	"Unknown Backhand"
"Buster C. Mottram"	"/en/players/buster-c.-mottram/m154/"	FALSE	"GBR"	"1955.04.25"	NA	NA	NA	"Right-Handed"	"Unknown Backhand"
"Alex Metreveli"	"/en/players/alex-metreveli/m271/"	FALSE	"GEO"	"1944.11.02"	NA	NA	NA	"Right-Handed"	"Unknown Backhand"
"Robert Lutz"	"/en/players/robert-lutz/l045/"	FALSE	"USA"	"1947.08.29"	NA	"82kg"	"180cm"	"Right-Handed"	"Unknown Backhand"
"Fred Stolle"	"/en/players/fred-stolle/s129/"	FALSE	"AUS"	"1938.10.08"	"1966"	"93kg"	"191cm"	"Right-Handed"	"Unknown Backhand"
"Hans-Jurgen Pohmann"	"/en/players/hans-jurgen-pohmann/p082/"	FALSE	"GER"	"1947.05.23"	NA	NA	NA	"Right-Handed"	"Unknown Backhand"
