"","tournamentType","tournament","location","date","outdoor","surface","priceMoneyTotal","round","rankOpponent","opponent","opponentLink","win","score","eventPoints","rank","priceMoney"
"1","Grand Slam","Wimbledon","London, Great Britain","2021.06.28 - 2021.07.11","O","Grass","£17,066,000","Quarter-Finals","18","Hubert Hurkacz","/en/players/hubert-hurkacz/hb71/","L","36 674 06","360","8","£300,000"
"2","Grand Slam","Wimbledon","London, Great Britain","2021.06.28 - 2021.07.11","O","Grass","£17,066,000","Round of 16","27","Lorenzo Sonego","/en/players/lorenzo-sonego/su87/","W","75 64 62","360","8","£300,000"
"3","Grand Slam","Wimbledon","London, Great Britain","2021.06.28 - 2021.07.11","O","Grass","£17,066,000","Round of 32","34","Cameron Norrie","/en/players/cameron-norrie/n771/","W","64 64 57 64","360","8","£300,000"
"4","Grand Slam","Wimbledon","London, Great Britain","2021.06.28 - 2021.07.11","O","Grass","£17,066,000","Round of 64","56","Richard Gasquet","/en/players/richard-gasquet/g628/","W","761 61 64","360","8","£300,000"
"5","Grand Slam","Wimbledon","London, Great Britain","2021.06.28 - 2021.07.11","O","Grass","£17,066,000","Round of 128","41","Adrian Mannarino","/en/players/adrian-mannarino/me82/","W","64 673 36 62 00 (RET)","360","8","£300,000"
"6","ATP 500","Halle","Halle, Germany","2021.06.14 - 2021.06.20","O","Grass","€1,318,605","Round of 16","21","Felix Auger-Aliassime","/en/players/felix-auger-aliassime/ag37/","L","64 36 26","45","8","€25,480"
"7","ATP 500","Halle","Halle, Germany","2021.06.14 - 2021.06.20","O","Grass","€1,318,605","Round of 32","90","Ilya Ivashka","/en/players/ilya-ivashka/i305/","W","764 75","45","8","€25,480"
"8","Grand Slam","Roland Garros","Paris, France","2021.05.31 - 2021.06.13","O","Clay","€17,171,108","Round of 16","9","Matteo Berrettini","/en/players/matteo-berrettini/bk40/","L","(W/O)","180","8","€170,000"
"9","Grand Slam","Roland Garros","Paris, France","2021.05.31 - 2021.06.13","O","Clay","€17,171,108","Round of 32","59","Dominik Koepfer","/en/players/dominik-koepfer/ke73/","W","765 673 764 75","180","8","€170,000"
"10","Grand Slam","Roland Garros","Paris, France","2021.05.31 - 2021.06.13","O","Clay","€17,171,108","Round of 64","47","Marin Cilic","/en/players/marin-cilic/c977/","W","62 26 764 62","180","8","€170,000"
"11","Grand Slam","Roland Garros","Paris, France","2021.05.31 - 2021.06.13","O","Clay","€17,171,108","Round of 128","204","Denis Istomin","/en/players/denis-istomin/i165/","W","62 64 63","180","8","€170,000"
"12","ATP 250","Geneva","Geneva, Switzerland","2021.05.17 - 2021.05.22","O","Clay","€419,470","Round of 16","75","Pablo Andujar","/en/players/pablo-andujar/a596/","L","46 64 46","0","8","€9,000"
"13","ATP 250","Geneva","Geneva, Switzerland","2021.05.17 - 2021.05.22","O","Clay","€419,470","Round of 32",NA,"Bye",NA,"","","0","8","€9,000"
"14","ATP 250","Doha","Doha, Qatar","2021.03.08 - 2021.03.13","O","Hard","$1,050,570","Quarter-Finals","42","Nikoloz Basilashvili","/en/players/nikoloz-basilashvili/bg23/","L","63 16 57","45","6","$35,060"
"15","ATP 250","Doha","Doha, Qatar","2021.03.08 - 2021.03.13","O","Hard","$1,050,570","Round of 16","28","Daniel Evans","/en/players/daniel-evans/e687/","W","768 36 75","45","6","$35,060"
